"description","rationale_1","rationale_2","rationale_3","rationale_4"
\n,\n,\n,\n,\n
"Career Education enrollments overall have dropped more than 28% since FA12.  Although many factors have contributed to this decline, aging resources have also had an impact as MSJC’s classrooms have become increasingly outdated. Our proposal is to Install interactive whiteboards on the San Jacinto Campus and two boards on the Menifee Valley Campus. And to Install Pole Vault (or similar) integrated audio/video control panels as needed.","Modern interactive technology will better model the employment environment our graduates are likely to be entering upon graduation.  Also, as more students will be able to see what is presented by the instructor, student learning and retention improve, and more students will complete certifications and/or transfer. ",\n,\n,\n
"Faculty salary to teach course.  This course  has been historically under enrolled and is a requirement for degree, certificate and transfer.  The grant funding will assure that the class is not cut.  This funding will also partially support a dean position for the Architecture, Construction, Engineering, Electrical and Advanced manufacturing division.","The Architecture, Construction, Engineering Technology, Electricity/Electronics (ACE) division needs realignment and updating that requires a dean level perspective and authority.  The Dean will also oversee all aspects of Workforce Development at the college.  The funding for the faculty will assure that a capstone course will be taught regardless of enrollment to assure that students can complete certificates and degrees.  This course has been cancelled each of the last 4 semesters and there is a cohort of students needing the class.",\n,\n,\n
\n,\n,\n,\n,\n
"Proposal is to increase enrollments and outcomes in Electronics Technology and Engineering Design Technology Departments, and to develop a guided pathway from high school to college to industry in the fields of CNC Machining and Product Design.  This pathway will provide trained employees for Greater Sacramento manufacturers and employers.","     Mass customization and rapid technology advances have required Greater Sacramento manufacturers to demand workers with more advanced skills such as using software to design three-dimensional parts, developing and testing prototypes, operating and maintaining computerized machinery and tools, and performing complex tasks and calculations to improve manufacturing processes. Sacramento City College's Advanced Manufacturing Pathway project will prepare students from high school to community college with skills in CNC machine operation, technical design and drafting, and product design.
    SCC will offer an first year certificate in CNC Machine Operation. This certificate can be offered at a local high school through an articulation agreement or at the SCC campus.  Upon completion the student would be able to enter the workforce and/or continue on with their education.  
   SCC will offer a second year certificate in Product Design. and Prototyping.  This will also include design thinking, and CAD courses.  At the end of this certificate the student would have the option of employment and/or transferring to a four year institution.
   With both of these certificates the student also has the option of obtaining an A.S. Degree.  Both of these certificates are very project-based, with projects coming from local employers, offering an opportunity for student interaction with potentiala employers and real-world exposure to work.
SCC has developed a strong relationship with a newly formed, industry lead organization called Sacramento Valley Manufacturers Initiative.  We are currently working closely with this organization, and will e working with the Education Subcommittee in the development of the curriculum, in identifying internship opportunities, and real world projects from the field that students could work on in the classrooms.  This organization has offered to provide field trips and exploration opportunities for our students.
    Ultimately these programs will create a regional sourcing pipeline for a manufacturing sector.
Advantages of SCC project:
- Product Design certificate is not offered by other regional colleges and avoids duplication.  CNC Machining certificate allows SCC, with other regional colleges, to fill a large employer demand.
- Encourages articulation agreements with universities which already have mature programs in advanced manufacturing and engineering
-Avoids local duplication of effort
-Enables SCC to offer manufacturing pathway - conceptual, practical and technological - despite space and resources limitations.
- Solidifies engagement with local industry employers through consultation regarding curriculum, through internship, and relevant project based work.
Saxcramento Valley Manufacturing Initiative is supportive of this proposal.
",\n,\n,\n
"The Occupational Safety and Risk Management (OSRM) program prepares individuals for a career in the safety and risk management profession. The objectives of the program are to provide students with the necessary educational base to secure employment after obtaining the AS degree, to meet the education requirement for individuals pursing professional certification, and to provide a pathway into a discipline related baccalaureate program.","More specialists will be needed to cope with technological advances in safety equipment and threats, changing regulations, and increasing public expectation.  Over the past two decades, insurance and workers’ compensation costs have risen and become a financial concern for many employers and insurance companies, supporting the need for safety and risk management personnel across industry.  This program is strongly supported by local industry.  The local and regional labor market is strong with potential Kern County employers existing in the following industries: 

•	Aerospace & Defense	•	Construction	•	Government	•	Manufacturing
•	Agriculture	•	Energy & Natural Resource	•	Transportation	•	Utilities
",\n,\n,\n
"This project will provide FTE required to offer Dual Enrollment classes in Career Technical Education. ","AB 288 was signed into law by Governor Brown in 2015 and took effect on January 1, 2016.  The intent of AB 288 was “for the purpose of offering or expanding dual enrollment opportunities for students who may not already be college-bound or who are underrepresented in higher education, with the goal of developing seamless pathways from high school to community college for career technical education or preparation for transfer, improving high school graduation rates, or helping high school pupils achieve college and career readiness.”  

In the Los Rios District, Policies and Regulations for Dual Enrollment were approved by the Board of Trustees in January 2017.  During Fall 2017, American River College became the first College in the District to offer Dual Enrollment classes, developing a partnership with Highlands High School to start a Diesel Technology Program.

This project will continue to expand enrollment in Diesel Technology, Automotive Technology, and Design Technology through Dual Enrollment.  


Fall 2019
•	Highlands High School, Diesel Technology, .972 FTE
•	Rio Linda High School, Diesel Technology, .972 FTE
•	San Juan High School, Automotive Technology, .35 FTE
•	San Juan High School, Design Technology, .333 FTE
•	Natomas High School, Automotive Technology, .35 FTE
•	Center High School, .333 FTE

Spring 2020
•	Highlands High School, Diesel Technology, .972 FTE
•	Rio Linda High School, Diesel Technology, .972 FTE
•	San Juan High School, Automotive Technology, .35 FTE
•	Natomas High School, Automotive Technology, .35 FTE
•	San Juan High School, Design Technology, .333 FTE
•	Center High School, .333 FTE

And:
Explore potential additional sites for other CTE programs, e.g. Administration of Justice, EMT/Paramedics, and Culinary

The intent of AB 288 was to “for the purpose of offering or expanding dual enrollment opportunities for students who may not already be college-bound or who are underrepresented in higher education, with the goal of developing seamless pathways from high school to community college for career technical education or preparation for transfer, improving high school graduation rates, or helping high school pupils achieve college and career readiness.”  

Offering Dual Enrollment CTE classes at local high schools will enable disproportionately impacted students to access college classes.
",\n,\n,\n
"This plan continues the work of developing the concept of and identifying space for the McClellan Innovation Center, which has potential to increase ARC's capacity to enroll students in Advanced Manufacturing and Advanced Transportation programs.  Once fully operational, we expect to serve at least 500 additional students per year through the programs at the McClellan Center. The ARC Workforce team will employ a variety of recruitment and outreach efforts to generate this enrollment.","Student enrollment in the Los Rios Community College District has been declining by as much as 3% over the past three years.  At the same time, regional employers have expressed difficulty identifying the skilled labor force needed to fill critical positions.  Finally, facility limitations at both offsite locations and the Main campus have stifled the College’s ability to respond to industry needs even when training opportunities present themselves.  
The strategic interests of the Advanced Manufacturing & Advanced Transportation@ McClellan Park Innovation and Training Center are to increase enrollment, target training for regional employer needs, and respond to industry training needs.  
Advanced Manufacturing can apply to nearly every successful, competitive manufacturer. Any production-based business that is progressive, uses new materials, or pioneers new processes and innovative technologies is considered part of the advanced manufacturing industry sector. Typically, advanced manufacturing includes aerospace, chemical, computers, electronics, plastic products, food, transportation, and machinery manufacturing—which are generally the industry sectors that readily adopt and apply new technologies. 
Through the outreach conducted while developing the North Far North Regional Plan, employers expressed the following facts and opinions :
•	There are many openings for CNC positions that need to be filled. 
•	Need more mechatronic program/certificates in the region. 
•	Would like to see more manufacturing fundamentals, such as electricians training. 
•	Industry-recognized certifications are often preferred over degrees

Advanced transportation often refers to the use of alternative fuel vehicles. These vehicles can be hybrid or electric vehicles or they can run on alternative fuels, such as compressed natural gas or hydrogen. They incorporate a variety of technologies to improve fuel efficiency and reduce emissions and are constantly evolving. Examples of alternative fuel technologies include electric batteries, plug-in hybrids, hydrogen fuel cells and hydrogen internal combustion engines . 
One factor contributing to the expansion of alternative transportation has to do with increased awareness and demand from consumers, employers and legislators. Demand for alternative fuel vehicles has been steadily rising as consumers seek new ways to cut transportation costs and reduce their impact on the environment. Businesses anticipating increased consumer demand have been repositioning themselves to meet that need .
Through local funds, ARC proposes the following:
Need #1: Increase enrollment
Through the acquisition of approximately 80,000 square feet in instructional space at McClellan Park, we will increase the college’s capacity to enroll students in the college’s Advanced Manufacturing and Advanced Transportation programs (Diesel, Auto Collision, Welding, Design Technology, and Carpentry Pre-Apprenticeship programs, and eventually Drone Technology).  Once fully operational, we expect to serve at least 500 additional students per year through the programs at the McClellan Center.  The ARC Workforce team will employ a variety of recruitment and outreach efforts to generate this enrollment, including: 1) leveraging the college’s Local Share funds and Pathways resources, and Carl D. Perkins funds; 2) coordinating efforts with the college’s Student Services programs; 3) strengthening or expanding partnerships with employers in Advanced Manufacturing/Advanced Transportation, as well as regional industry associations; and 4) expanding partnerships with local workforce agencies (e.g. Sacramento Employment and Training Agency), County offices of education, and adult education providers.
Need #2: Training for regional employer needs
The McClellan Innovation Center is currently being designed as a flexible learning space that can be customized for different training needs. Classroom and lab space will be outfitted with a diversity of technologies and tools that support learning in Advanced Manufacturing.  These features of the McClellan Innovation Center will allow us to serve employers in new ways.  For example, employers will be able to contract with the college to provide specialized instruction, rent facilities for their own purposes (e.g. R & D), and/or collaborate directly with faculty and their students on innovative projects, e.g. in the way that the college’s existing Design Hub (maker space) serves employers.
Need #3: Respond to industry needs
Through the McClellan Innovation Center’s state-of-the-art facilities, and the expanded training capabilities it brings, we will increase the region’s ability to meet the needs of industry and prepare students and workers for jobs and careers in the growing Advanced Manufacturing sector.  Moreover, it is our hope that the cross-pollination of ideas and the synergy that will occur in this creative and flexible environment between employer and industry professionals, faculty, and students establishes the Center as a well-regarded regional institution, which further helps attract advanced manufacturing companies to the region.

Through the acquisition of approximately 80,000 square feet in instructional space at McClellan Park, we will increase the college’s capacity to enroll students in the college’s Advanced Manufacturing and Advanced Transportation programs (Diesel, Auto Collision, Welding, Design Technology, and Carpentry Pre-Apprenticeship programs, and eventually Drone Technology).  Once fully operational, we expect to serve at least 500 additional students per year through the programs at the McClellan Center.  The ARC Workforce team will employ a variety of recruitment and outreach efforts to generate this enrollment, including: 1) leveraging the college’s Local Share funds and Pathways resources, and Carl D. Perkins funds; 2) coordinating efforts with the college’s Student Services programs; 3) strengthening or expanding partnerships with employers in Advanced Manufacturing/Advanced Transportation, as well as regional industry associations; and 4) expanding partnerships with local workforce agencies (e.g. Sacramento Employment and Training Agency), County offices of education, and adult education providers.",\n,\n,\n
"This proposal involves three key activities designed to increase the number of students who enroll in Design Technology programs and increase the number of students that are prepared for employment through participation in internships: offering internships through the Design Hub, a project established through the CCC Maker grant program; offering dual enrollment courses at feeder high schools; and enhancing Design Tech curriculum with new material related to drone technology applications.","The ability to provide a well trained and skilled workforce to our industry partners has been identified as a critical need in our area.  At this time, the demand for skilled entry level workers outstrips our graduating class (Link to job recruitment postings by our partners,  Link to area job posting data based on keyword searches ), and as such, our program must demonstrate our capability to enroll and place more students.	  
 
We have identified San Juan High School as an ideal Dual Ed Pathway candidate because they have a strong program that integrates 3D printing and Laser Cutting with Inventor and AutoCAD design work. Their program provides ideal preparation for entry into Design Technology at ARC.  By providing 2 courses of Dual Ed, and then by providing a summer course for a third class, an entire semester may be completed before entry into ARC as a full time student.  This will allow 2-3 semesters of classes (depending on load) in order to receive our certificate in Design Technology.  With this certificate, students are currently interviewing and being hired for 2D drafting positions in Civil, Traffic, Cell Phone Tower, and Sanitation Companies. 
 
In addition to the strong program that already exists at San Juan High School, the instructor for the target courses is also an adjunct professor in our department.  This efficiency smoothes some of the integration difficulties of implementing Dual Ed. 
 
Equipment: N/A 
?	San Juan High School is already fully equipped to implement our coursework 
Software: N/A 
?	San Juan High School is already fully equipped to implement our coursework 
Human Resources 
?	These two dual ed courses (DESGN 100 for Juniors, DESGN 320 for Seniors) will be taught in the fall semester.  This is equivalent to .66 FTE for Fall and 0 FTE for the Spring. 

San Juan High School has a large population of low income students from underserved populations. This pathway is intended to directly influence their ability to enter our program as well to prepare students who will have a high chance to achieve completion of our certificate in two years or less (for full time students) and obtain living wage employment ($30K/yr plus benefits starting salaries)
",\n,\n,\n
"Past, present, and future success of the ARC HM program is founded in the high quality education available to the students by working with well qualified, dedicated, and caring faculty and staff.  The hands on operations run by students make the program unique as well as highly successful. This success requires significant student support. This project will continue to support a full-time Culinary Arts Supervisor and increasing a 60% IA to a full-time IA.","This project is motivated by the desire to see students succeed and become prepared for the workforce. It is directly in line with the strong workforce desire for “more and better.” This is the better component. This will provide students in the culinary program daily direct feedback allowing them to more quickly improve their skills and ensure their work is up to industry standard. 

This project will result in increased  persistence, increase in the number of degrees and certificates awarded, and most importantly will help meet the economic employment needs of the region, and result in higher wages for those who complete our programs because they will have attained higher level skills. 

The LMI data provided shows an unmet need of over 1,300 open positions, specific to foodservice and not taking into account the additional opportunities within the hotel market.

The scope of this plan not only meets each of the primary objectives for strong workforce: 
•	Improve persistence and completion rates
•	Improve quality of courses
But also meets the Task Force Recommendation of:
1.	Broaden and enhance career exploration and planning, work-based learning opportunities, and other supports for students.
2.	Improve CTE student progress and outcomes.

Additionally, this plan is supported by both the departmental EMP and Program Review which was completed last year. The strong workforce support will allow this program to move forward with the investment that has prevented it from coming to fruition, and is desperately needed. 

Please note: the previously funded Culinary Arts Supervisor position (Culinary Arts and Hospitality Management Expanded Success Program) does not fill the need addressed in this request. This request will in fact help to ensure the success of the Culinary Arts and Hospitality Management Expanded Success Program by fully providing the Supervisor the staffing level necessary to be successful. 

The three primary groups of disproportionately impacted students within the HM program are African American Males, Hispanic Males, and displaced homemakers. African Americans currently represent 14% of the student population, and Hispanics 21%. Each group currently has a success rate higher within the department that the college in general, but still has room for improvement. This position is a high contact position, working with students all day every day. This direct contact allows the IA to correct, encourage, and support students as they are preparing to enter the work force. Three additional hours each day ensures that students have support to the conclusion of their daily work. Without this, students will be left unsupported for three hours per day. 

Data clearly supports that immediate and constant feedback supports both learning, achievement and an individual’s desire to continue. Disproportionally impacted students are less likely to seek additional help than many traditional students. This request will ensure that students receive complete feedback each day, rather than feedback only on the first 60% of their day, before tasks are completed.",\n,\n,\n
"The ARC Design Hub leverages student skill and abilities learned in their program of choice and provides technical support to ARC faculty innovation projects. Strengthening this process via new equipment and through funding of student internships will provide real world work experience to our students while allowing them to apply the skills and abilities that they have learned in the classroom.","The ability to provide a well-trained and skilled workforce to our industry partners has been identified as a critical need in our area.  At this time, the demand for skilled entry level workers outstrips our graduating class (Link to job recruitment postings by our partners, Link to area job posting data based on keyword searches), and as such, our program must demonstrate our capability to enroll and place more students. We have identified that a work experience component is critical to meeting this need.  Although our traditional course delivery methods in Design Technology provides a strong technical education, it lacks a systematic component to provide a work environment for students to practice their technical skills and their workplace skills (soft skills) in preparation for successful entrance into the workforce.  As a pilot program, the Design Tech Lab had previously shown that ARC has the necessary student, faculty, and community critical mass to succeed in meeting this objective through collaborative work based on campus and in support of college and faculty needs for innovation. Moving past the pilot stage, the DTL became the Design Hub with expanded capabilities and an expanded breadth of collaborative departments in order to test the sustainability of this type of program.  It is currently in its second semester of operation and appears to be successfully meeting many of the criteria that will demonstrate enrollment growth and sustainability. For example, students enrolled in DESGN 298/498 work experience as part of their internship has grown from 24 to over 60 within just two semesters.  We continue to get additional interest as more faculty promote this experience to their students. It is the belief of the Design Hub core group that this number is limited solely by our space, access hours, oversight, and equipment limits.  Of course, the Design Hub is fairly new and currently has limited resources and space allocations.  At this time, it is not integrated into our planning cycle and it can only operate with continued funding through sources such as CCC Maker, Perkins, and Strong Workforce.  Footprint, equipment upgrades, and especially paid internships (student help) along with the funds to provide for faculty mentorship will ensure the needed time that we believe will allow the Design Hub to fully develop its system as a widely available, sustainable, useful, collaborative, and innovative part of our ARC Community and one which will provide a flexible path for growth of the DESGN department (as well as others).
 
To meet this need, the Design Hub plans to address the following categories of improvement: Equipment: 
?	Adv Mfg 
?	Laser Cutters, 3D printers (replace worn out units), CNC Routers, CNC Lathe 
?	Computing 
?	High capacity computing system with cloud data storage capabilities Software: 
?	Advanced 3D Modeling 
?	Advanced Coding 
?	Advanced Graphics 
Human Resources 
?	Paid Student Interns (Student Help) 
?	Faculty Project Oversight (ESAs for faculty project oversight) 
?	Temporary Classified Student Program Assistants (Similar to MESA)

With access to paid internships, students with economic hardship or without the support of college educated family are able to take advantage of the valuable work experience provided by the Design Hub. It also provides initial training for students who may have neither the experience nor the support systems in place to develop job and job search skills.",\n,\n,\n
"This project is designed for the Affordable Learning Materials Project Director to work with CTE faculty in identified programs to locate appropriate learning materials in both OER (basically no-cost) and low-cost materials.  The Director would then work with the CTE faculty members and other staff, such as instructional designers, to adapt and modify the identified materials to fit the needs of the CTE curriculum at ARC.","High textbook costs continue to deter students at ARC from purchasing assigned materials for classes, despite the fact that lack of such materials is injurious to successful completion of the course. As noted in several national surveys conducted by the Public Interest Research Group (PIRG) in 2014 and 2016, students are forced to forego assigned textbooks—which are an essential aid in learning new material, completing assignments, and studying for exams—because they are too expensive, and are knowingly accepting the risk of a lower grade to avoid paying for the textbook. With this program, ARC seeks to boost college access and completion, particularly for underserved students, by engaging faculty and others in the replacement of proprietary/commercial textbooks with more affordable learning materials, both no-cost, primarily with the use of open education resources (OER), and low-cost materials.
Students who had foregone purchasing a textbook were concerned that doing so would hurt their grade in a course. More than half of the students felt significant concern for their grade. It is concerning that students are forced to forego assigned textbooks–which are an essential aid in learning new material, completing assignments, and studying for exams–because they are too expensive. This also means that students are not only choosing not to purchase the materials they are assigned by their professor, but they are knowingly accepting the risk of a lower grade to avoid paying for the textbook.
Over the last decade, the price of college textbooks has soared. Since 2006, the cost of a college textbook increased by 73% over four times the rate of inflation. Today, individual textbooks often cost over $200, sometimes as high as $400. As a result, ARC students are feeling the pinch: they can either purchase the necessary textbook and add to their financial hardship, take time away from studying to work extra hours, or go without the book and accept the consequences.
Awareness of more affordable learning materials, especially OER, among U.S. higher education teaching faculty has improved, but still remains less than a majority, according to a new report from the Babson Survey Research Group (Opening the Textbook: Open Educational Resources in U.S. Higher Education, 2015-16). Survey results, using responses of over 3,000 faculty, show that OER status is not a driving force in the selection of educational materials–with the most cited barrier being the effort required to find and evaluate such materials. While use of OER is low overall, it is somewhat higher among large enrollment introductory-level courses.  
Faculty awareness of OER has increased, with 25% of faculty reporting that they were “Aware” or “Very Aware” of open educational resources, up from 20% last year. The most common factor cited by faculty when selecting educational resources was the cost to the students. After cost, the next most common was the comprehensiveness of the resource, followed by how easy it was to locate.

Disproportionately impacted students will have access to the textbooks (and other learning materials) from the first day of class.  There will also be less cost of college attendance with a decrease in the estimated $1200 annual cost of textbooks.",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"Counselors dedicated to the Tech Ed Division: Having a specialist counselor(s) who give consistent advice is a foundational element of guided pathways, and having those counselors readily available for our students will improve persistence and completion journeys
Celebrate Career Education! Event: Anticipating even greater participation and continued improvement in the CTE Outcome Survey participation and results.","Counselors in Tech Ed
The Technical Education division includes Automotive Technology, Design Technology, Electronics Technology, Horticulture, and Welding Technology programs on the main ARC campus, Automotive Collision Technology and Diesel/Clean Diesel Technology at a Mather site, and Pre-Apprenticeship and Electrician Trainee programs at a Twin Rivers site. These are distinct, complex programs with generally strong employer demand. Few (8%) of our students are enrolled full time.

With Strong Workforce funding available in Summer 2017, the division introduced resident counselors to the Technical Education area, housing them in the Tech Ed faculty office building. The initial funding was for one full-time and two adjunct counselors, the equivalent of 2.0 FTE. Benefiting from lessons learned as the program rolled out, the plan changed to two adjuncts in Spring 2018. The process for scheduling counseling appointments for Tech Ed students improved dramatically in the spring as the Tech Ed staff adapted, and there was a noticeable spike in appointments after the dean visited nearly every class scheduled and talked to the students about the counselors being available. Student contact hours are on a trajectory to double in Spring 2018 semester from those recorded in Fall 2017, an excellent indicator of the value of this program.

Having counselors who both understand Technical Education students and support the value of career education works. In addition, as ARC moves rapidly toward guided pathways for all students, continuing to have Tech Ed model the success of this type of support is essential for the college. Having one full-time counselor permanently dedicated to the Technical Education, division would continue improvement of the program by allowing more outreach to our offsite programs, including Dual Enrollment programs at our feeder high schools. The counselor(s) could continue to increase his/her familiarity with each of the Tech Ed programs and faculty with more classroom visits, and by attending department chairs’ and advisor board meetings. Having the counselor involved in making continuous improvements to the program as we move forward is essential to future success.
_
Celebrate Career Education! Event
In Spring 2018, the Technical Education is organizing and staging a college-wide event, Celebrate Career Education! To recognize students in the 39 Career Education programs on campus. Students enrolled in any Perkins-supported program who are working on certificates, degrees, are Skills Builders or have completed just one class may participate. It will be a fun, upbeat event to recognize and celebrate the many accomplishments of these students that are not otherwise acknowledged by the college community. We anticipate 700 students participating in Spring 2018. Celebrate! Also serves a critical second purpose: In order for students to participate—and have their name in the program—they must register online and provide three types of contact information. About a year after students leave the program they will be contacted by the CTE Outcome Survey and asked 26 well-crafted questions about their field of study, how it relates to their current work, their job search, etc. 

The results of this survey will be significantly improved with good contact information and registration for the Celebrate Career Education! Will provide us with that. The survey results will give all ARC Perkins-funded program departments and the division detailed, relevant program data on which to evaluate and improve student outcomes and success. The data will also aid in documenting any growth or challenges within certain Strong Workforce metrics for the college.  We propose to stage a second Celebrate! Event in May of 2019, anticipating more participants and continued improvement in the CEOS. We are requested funding for event security (campus police), facilities set up, marketing and promotion, outreach, contracted assistance for music, etc. and results.

All students in the Technical Education division benefit from having in-house, easily accessible counselors, but disproportionately impacted students in particular stand to gain the most. In addition to creating comprehensive education plans, Tech Ed counselors help support students by providing guidance about academic and program issues, financial aid, work-life-school balance, relevant social services, campus student support services including WAC and RAD, internship and employment opportunities, financial aid, scholarships, etc., all of which will improve their persistence and the chance of successful completion of their goals.",\n,\n,\n
"This project is a continuation of a Year 1 SWP project designed to increase capacity, enrollment, student success, and retention in ARC's Nursing Program. A full-time Nursing Instructor will allow the college to capture and maximize enrollments. The Nursing Student Success Coordinator will provide guidance, support, remediation and recommendations for student improvement in the nursing program in both theory and clinical performance. The Nursing IA will provide added support to Nursing students.","The overall attrition rate of the nursing program is 10 – 15%. While this is somewhat expected, we need to monitor closely the number of students who complete behind schedule. The impact of this creates an even greater challenge to students. The burden of having to repeat a course is multifaceted. These students are often devastated, the failure has a huge impact on their confidence. They are often financially challenged because they did not plan on being in school an extra semester or potentially an extra year. Their ability to get student loans is already a challenge due to the high number of college units to get into the program, and it delays their employment. The goal of the Nursing Student Success Coordinator is to identify and support these students to reduce the number of failures in all semesters of the program and increase on-time completions. The Student Success Program not only improves outcomes for currently enrolled students, but also allows for a full class of new students to enter the program each semester. This ultimately allows for more graduates, which in turn means more qualified RN’s in the workforce. The purpose of the Nursing Student Success Coordinator is to provide guidance, support, remediation and recommendations for student improvement in the nursing program in both theory and clinical performance. 1. Assess/Monitor Nursing Students identified throughout program a) Accept referrals from Nursing team and/or clinical faculty b) Initiate student contact and identify student concerns c) Review barriers to student success (i.e. child care, financial, transportation, social support, learning disabilities, medical needs, etc.) d) Assess: student learning styles; current study habits; time management skills. e) Meet with students and their instructors as needed for first meeting and then ongoing as needed f) Refer to DSPS as needed g) Monitor implementation of established remediation plan and schedule follow-up appointments as needed h) Monitor for implementation of established success plan and modify plan as needed i) Interpret standardized test results, content mastery and track academic status utilizing ATI/HESI results j) Identify changes in baseline academic and/or clinical performance k) Track clinical performance as needed 2. Coordinate Individual Nursing Student Success Plans a) Orient students to Student Success Program b) Formulate student success plan and set goals with student and faculty of record c) Advise student in organizational and communication skills; anxiety reduction strategies; study skills/strategies & test taking skill/strategies; and time and/or life management skills d) Provide academic tutoring e) Provide forum for students to address their own needs f) Build and maintain non-threatening relationships with students in a confidential environment g) Refer to campus counseling as needed 3. Collaborate with nursing faculty a) Maintain collegial relationship with nursing faculty b) Participate in faculty meetings c) Provide input into curriculum modifications d) Exchange feedback with faculty related to learning contracts e) Report student participation/progress for exit interviews to faculty f) Maintain currency in evidence based practice for student success g) Maintain access to online learning management system 4. Refer Nursing Students to Available Resources a) Refer to semester level nursing faculty as content experts b) Provide direction for navigating college resources: campus academic support services; library/media center services; computer assisted instruction; ESL services; nursing Skill/Simulation Lab; DSPS; student health services, including mental health/crisis counseling; financial aid/scholarship information services; access to emergency student support funds; campus counseling 5. Provide Nursing Student Success Learning Opportunities a) Role model professional nursing behaviors b) Provide suggestions related to: organizational/time management; study skills; basic math review and dosage calculation; test-taking strategies; anxiety management/reduction c) Facilitate student- driven study sessions and formation of effective student study groups as needed 6. Ensure Nursing Student Success Program Documentation a) Initiate student data collection b) Provide student with mutually agreed upon success plan (student, faculty Success Specialist) c) Document student meeting with success program personnel d) Document supportive services provided e) Maintain individual student progress records f) Provide for student evaluation of success programs and services 7. Follow-Up with Nursing Program Graduates in Collaboration with Nursing Director a) Facilitate accommodated status for NCLEX b) Provide assistance or referral for student not passing NCLEX with Nursing Director The general knowledge and skills of the Nursing Student Success Coordinator shall include: • Ability to establish rapport with diverse group of student & faculty • Coaching skills • Computer literacy, including the ARC course Learning Management System • Effective communication skills (written, verbal, no-verbal, electronic), interpersonal skills, and organization and time management skills • How to deal with “test anxiety” and coping with stress of school (knowledge of “stress cycle”) • Knowledge and established rapport with campus and community resources • Knowledge of a variety of study strategies; a variety of test-taking skills; clinical nursing skills; cultural competency; different learning styles; professional boundaries; and unique needs of the adult learner. • Leadership and management skills • Nursing process • Nursing role ",\n,\n,\n
\n,\n,\n,\n,\n
"We are working to attract new students into our programs, including through the use of an outreach location at the Sacramento Food Bank and a potential partnership with the Sacramento Job Corps Center.

We have an interest in better supporting small business/entrepreneurship and accounting students.  We are particularly interested in increasing participation by underrepresented groups.","We know there is a shortage of accountants and that most new jobs are created by small business owners, not by corporations.  In order to help fill these needs, we would like to create more opportunities for our students.  This includes expanding offerings to the Sacramento Food Bank and Family Services as well as to the Sacramento Job Corps Center.

It also includes providing better support to our accounting students.  Many of our course offerings have moved to online, so we have a need to expand our tutoring to online.  This has been test piloted in Summer 2018 and has been very successful, and we'd like to expand this program to best support the success of our students.",\n,\n,\n
